                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67152,                 1.0795,                0.96414,                 0.9603,                0.95329,                0.98485,                0.87822,                0.47552,                0.39096,                0.84232,              0.0033325,              0.0033325,              0.0033325
                      2,                  0.681,                 0.5656,                0.96871,                0.97765,                0.97499,                0.99128,                0.89906,                0.45883,                0.30867,                0.84299,              0.0065339,              0.0065339,              0.0065339
                      3,                0.71946,                0.54342,                0.99476,                0.97582,                0.97888,                0.99101,                 0.9039,                0.45369,                0.29379,                0.84318,              0.0096032,              0.0096032,              0.0096032
                      4,                0.70684,                0.51259,                0.99244,                0.98122,                0.98332,                0.99274,                0.91895,                0.42197,                0.25175,                0.83146,               0.009406,               0.009406,               0.009406
                      5,                0.65759,                0.45523,                0.97196,                 0.9833,                 0.9869,                0.99294,                0.93055,                0.39308,                0.22468,                0.81876,               0.009208,               0.009208,               0.009208
                      6,                0.62784,                0.42317,                0.95913,                0.98393,                0.98725,                 0.9931,                0.93622,                0.37475,                0.20992,                0.81464,                0.00901,                0.00901,                0.00901
                      7,                0.61297,                 0.4046,                0.95368,                0.98454,                0.98964,                0.99349,                0.94072,                0.36587,                0.19925,                0.81129,               0.008812,               0.008812,               0.008812
                      8,                0.59547,                0.38888,                0.94628,                0.98571,                0.99031,                0.99314,                0.94555,                0.35601,                0.19016,                0.80793,               0.008614,               0.008614,               0.008614
                      9,                0.58411,                0.37659,                0.94137,                 0.9865,                0.99013,                 0.9933,                0.94899,                0.34912,                0.18528,                0.80521,               0.008416,               0.008416,               0.008416
                     10,                0.57551,                0.36938,                0.93694,                0.98671,                0.99148,                0.99351,                0.95069,                0.34379,                0.17993,                0.80333,               0.008218,               0.008218,               0.008218
                     11,                0.56889,                0.36112,                0.93484,                0.98712,                0.99175,                 0.9935,                0.95231,                0.33938,                0.17585,                0.80157,                0.00802,                0.00802,                0.00802
                     12,                0.56087,                0.35612,                0.93124,                0.98715,                0.99129,                0.99341,                0.95342,                 0.3363,                0.17314,                0.80067,               0.007822,               0.007822,               0.007822
